?cls	?xref
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10490293"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:8590690"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:8123559"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10425796"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10843050"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:11542064"
<http://purl.obolibrary.org/obo/NCBITaxon_2157>	"PMID:10939673"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:15522813"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:12878460"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:12082125"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:11214319"
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_117570>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9526>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11760965"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11542017"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11321113"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10939651"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11211268"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:8590690"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11542087"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11411719"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10425797"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:9336922"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:9103655"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10425796"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:270744"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10939677"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11321083"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:8186100"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:12054223"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10843050"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:7520741"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10490293"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:11540071"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"GC_ID:11"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10425795"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:8123559"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:10939673"
<http://purl.obolibrary.org/obo/NCBITaxon_2>	"PMID:2112744"
<http://purl.obolibrary.org/obo/ECOCORE_00000146>	"https://www.wikidata.org/entity/Q10253316"
<http://purl.obolibrary.org/obo/NCBITaxon_33208>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1338369>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314295>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7711>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32525>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33154>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"PMID:11791233"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"PMID:11743200"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7776>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9443>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32523>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7742>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_376913>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_207598>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9604>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6072>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_40674>	"GC_ID:1"
<http://purl.obolibrary.org/obo/PATO_0001241>	"snap:Quality"
<http://purl.obolibrary.org/obo/NCBITaxon_9347>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32524>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314293>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9605>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_117571>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"EMAPA:35148"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"VHOG:0001215"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"BTO:0004757"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"NCIT:C49194"
<http://purl.obolibrary.org/obo/UBERON_0001917>	"AAO:0011013"
