Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	RO:0002170	IAO:0000115	Binary relationship: x connected_to y if and only if there exists some z such that z connects x and y in a ternary connected_to(x,y,z) relationship.	
ERROR	multiple_definitions	RO:0002170	IAO:0000115	a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b	
ERROR	multiple_definitions	RO:0002176	IAO:0000115	Binary relationship: z connects x if and only if there exists some y such that z connects x and y in a ternary connected_to(x,y,z) relationship.	
ERROR	multiple_definitions	RO:0002176	IAO:0000115	c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.	
ERROR	multiple_definitions	RO:0002178	IAO:0000115	Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.	
ERROR	multiple_definitions	RO:0002178	IAO:0000115	relation between an artery and the structure is supplies with blood.	
ERROR	multiple_definitions	RO:0002207	IAO:0000115	Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participate in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of x comes from y, and the start of x is coincident with or after the end of y.	
ERROR	multiple_definitions	RO:0002207	IAO:0000115	Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of y comes from x, and the start of x is coincident with or after the end of y	
ERROR	multiple_definitions	RO:0002211	IAO:0000115	process(P1) regulates process(P2) iff: P1 results in the initiation or termination of P2 OR affects the frequency of its initiation or termination OR affects the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002211	IAO:0000115	x regulates y if and only if the x is the realization of a function to exert an effect on the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002212	IAO:0000115	Process(P1) negatively regulates process(P2) iff: P1 terminates P2, or P1 descreases the the frequency of initiation of P2 or the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002212	IAO:0000115	x negatively regulates y if and only if the progression of x reduces the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002213	IAO:0000115	Process(P1) postively regulates process(P2) iff: P1 initiates P2, or P1 increases the the frequency of initiation of P2 or the magnitude or rate of output of P2.	
ERROR	multiple_definitions	RO:0002213	IAO:0000115	x positively regulates y if and only if the progression of x increases the frequency, rate or extent of y	
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x	
ERROR	multiple_definitions	RO:0002219	IAO:0000115	x surrounded_by y iff: x is adjacent to y and for every region r adjacent to x, r overlaps y	
ERROR	multiple_definitions	RO:0002220	IAO:0000115	x adjacent to y if and only if x and y share a boundary.	
ERROR	multiple_definitions	RO:0002220	IAO:0000115	x adjacent_to y iff: x and y share a boundary	
ERROR	multiple_definitions	RO:0002221	IAO:0000115	inverse of surrounded by	
ERROR	multiple_definitions	RO:0002221	IAO:0000115	inverse of surrounded_by	
