?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ECOCORE_00000106>	"A cannibalistic process during which an embryo obtains food and energy by consuming a less-developed sibling embryo while both are still in the uterus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000046>	"An organism bearing a symbiont role and capable of living within a plant for at least part of its life cycle without causing apparent disease"	
<http://purl.obolibrary.org/obo/ECOCORE_00000115>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring via external fertilisation, the oocytes being scattered into the environment and fertilised outside the female's body by the male."	
<http://purl.obolibrary.org/obo/ECOCORE_00000075>	"The estimated proportion of members of a population alive in year t that is still alive in year t + 1"	
<http://purl.obolibrary.org/obo/ECOCORE_00000091>	"A predator that primarily eats insects"	
<http://purl.obolibrary.org/obo/ECOCORE_00000119>	"a reproductive quality inhering in the bearer by virtue of the bearer having male reproductive organs at the beginning of its life and then switching to being a hermaphrodite"	
<http://purl.obolibrary.org/obo/ECOCORE_00000093>	"A predator that eats secondary consumers"	
<http://purl.obolibrary.org/obo/ECOCORE_00000070>	"The ecological state of a species living in a region where its presence is the result of only natural process, with no human intervention"	
<http://purl.obolibrary.org/obo/ECOCORE_00000114>	"A heterotrophic process during which a living entity acquires food and energy from consuming bacteria."	
<http://purl.obolibrary.org/obo/ECOCORE_00000102>	"A carnivorous process during which a living entity acquires food and energy by consuming other animals while they are stil alive. Predation leads directly to the imminent death of the prey organism(s)."	
<http://purl.obolibrary/obo/ECOCORE_00000037>	"The fifth post-naupliar life stage of a copepod"	
<http://purl.obolibrary.org/obo/ECOCORE_00000079>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for being active during the hours of darkness"	
<http://purl.obolibrary.org/obo/ECOCORE_00000149>	"Prey that is successfully captured and consumed at a higher frequency than other types of prey. The predator may be specially adapted for capturing or consuming its preferred prey or have special nutritional requirements that are only met by the preferred prey."	
<http://purl.obolibrary.org/obo/ECOCORE_00000146>	"A symbiotroph that reduces the fitness, survival, or growth of its symbiont, often called a host"	"https://www.wikidata.org/entity/Q10253316"
<http://purl.obolibrary.org/obo/ECOCORE_00000071>	"The ecological state of a species living outside its native distributional range, which has arrived there by human activity, either deliberate or accidental."	
<http://purl.obolibrary.org/obo/ECOCORE_00000061>	"An organismal quality inhering in a bearer by virtue of the organization of the systems of organs involved with sexual reproduction amongst the bearer's conspecifics."	
<http://purl.obolibrary.org/obo/ECOCORE_00000065>	"One male has an exclusive mating relationship with two or more females"	
<http://purl.obolibrary.org/obo/ECOCORE_00000080>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for being active during the hours of daylight"	
<http://purl.obolibrary.org/obo/ECOCORE_00000131>	"A heterotroph which is capable of transforming light into chemical energy."	
<http://purl.obolibrary.org/obo/ECOCORE_00000090>	"A carnivore that feeds on dead and decaying animal matter"	
<http://purl.obolibrary.org/obo/ECOCORE_00000087>	"A heterotroph with a temporary parasitic association with another organism that leads to the death of the host. After which, the parasitoid can continue without the host or can move on to a new host. These organisms are considered partly parasites and partly predators."	
<http://purl.obolibrary.org/obo/ECOCORE_00000041>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for living in trees"	
<http://purl.obolibrary.org/obo/ECOCORE_00000101>	"A herbivorous process during which a living entity acquires food and energy by consuming twigs, leaves, and bark of trees and shrubs."	
<http://purl.obolibrary.org/obo/ECOCORE_00000154>	"A predation process during which a living entity acquires food and energy by consuming snakes."	"https://www.wikidata.org/entity/Q2746753"
<http://purl.obolibrary.org/obo/ECOCORE_00000120>	"a reproductive quality inhering in the bearer by virtue of the bearer changing sex at some point in its life"	
<http://purl.obolibrary.org/obo/ECOCORE_00000088>	"A heterotroph that consumes animals in whole or in part via ingestion through a type of \"mouth\". Animal matter is broken down through an internal digestion process."	
<http://purl.obolibrary.org/obo/ECOCORE_00000054>	"Organism that obtains nutrition by breaking down dead or decaying organisms"	
<http://purl.obolibrary.org/obo/ECOCORE_00000130>	"An autotroph which is capable of transforming light into chemical energy."	
<http://purl.obolibrary.org/obo/ECOCORE_00000027>	"Type of food comprising the majority of the diet of an organism"	
<http://purl.obolibrary.org/obo/ECOCORE_00000142>	"An organismal quality inhering in a bearer by virtue of the bearer's ability to burrow more than 20 cm deep into the soil and make permanent, vertical burrows."	
<http://purl.obolibrary.org/obo/ECOCORE_00000099>	"A herbivorous process during which a living entity acquires food and energy by consuming grasses, leaves, and other soft plant material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000095>	"a predator residing at the top of a food chain upon which no other creatures prey."	
<http://purl.obolibrary.org/obo/ECOCORE_00000150>	"Prey that is consumed only if the preferred prey are unavailable."	
<http://purl.obolibrary.org/obo/ECOCORE_00000112>	"A heterotrophic process during which a living entity acquires food and energy by consuming a few, very specific food items."	
<http://purl.obolibrary.org/obo/ECOCORE_00000030>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that are born live after retaining the eggs inside the body of the female"	
<http://purl.obolibrary.org/obo/ECOCORE_00000098>	"a heterotroph that consumes bacteria"	
<http://purl.obolibrary.org/obo/ECOCORE_00000118>	"a reproductive quality inhering in the bearer by virtue of the bearer having female reproductive organs at the beginning of its life and then switching to being a hermaphrodite"	
<http://purl.obolibrary.org/obo/ECOCORE_00000163>	"A process during which a living entity generates food from abiotic sources or through consumption of living or dead material, and captures energy from preformed molecules."	
<http://purl.obolibrary.org/obo/ECOCORE_00000034>	"The second post-naupliar life stage of a copepod"	
<http://purl.obolibrary.org/obo/ECOCORE_00000057>	"A decomposition process during which a living entity acquires food and energy by consuming detritus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000012>	"An organism which is capable of heterotrophic and autotrophic trophic processes."	
<http://purl.obolibrary.org/obo/ECOCORE_00000104>	"A predation process during which a living entity acquires food and energy by consuming all or part of another individual of the same species as food."	
<http://purl.obolibrary.org/obo/ECOCORE_00000003>	"A system in which a series of living entities consume living, dead, or non-living entities in successively higher trophic levels."	
<http://purl.obolibrary.org/obo/ECOCORE_00000001>	"A system in which living entities consume living, dead, or non-living entities or are consumed by other living entities through trophic interactions."	
<http://purl.obolibrary.org/obo/ECOCORE_00000050>	"Organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water."	
<http://purl.obolibrary.org/obo/ECOCORE_00000072>	"The ecological state that is not the extinct state"	
<http://purl.obolibrary.org/obo/ECOCORE_00000117>	"a reproductive quality inhering in the bearer by virtue of the bearer having male reproductive organs at the beginning of its life and then switching to female reproductive organs"	
<http://purl.obolibrary.org/obo/ECOCORE_00000100>	"A herbivorous process during which a living entity acquires food and energy by consuming seeds of a plant."	
<http://purl.obolibrary.org/obo/ECOCORE_00000148>	"An organism that is consumed in whole or in part by a predator"	
<http://purl.obolibrary.org/obo/ECOCORE_00000153>	"A parasite that enters the body of the host, but remains partially outside"	
<http://purl.obolibrary.org/obo/ECOCORE_00000017>	"A process during which a living entity generates food from abiotic sources or through consumption of living or dead material, and captures energy from light."	
<http://purl.obolibrary.org/obo/ECOCORE_00000097>	"a detritivore that consumes leaf litter"	
<http://purl.obolibrary.org/obo/ECOCORE_00000129>	"An autotroph which is capable of obtaining energy from the bonds in a chemical compound."	
<http://purl.obolibrary.org/obo/ECOCORE_00000120>	"Sequential hermaphroditism occurs when the individual changes sex at some point in its life."	
<http://purl.obolibrary.org/obo/ECOCORE_00000143>	"An herbivore that primarily consumes seeds"	"https://www.wikidata.org/entity/Q1974986"
<http://purl.obolibrary.org/obo/ECOCORE_00000026>	"The duration of the development from fertilized, deposited or implanted egg to hatching/birth. Corresponds to egg incubation duration in oviparous animals and to gestation period duration in viviparous animals."	
<http://purl.obolibrary.org/obo/ECOCORE_00000036>	"The fourth post-naupliar life stage of a copepod"	
<http://purl.obolibrary.org/obo/ECOCORE_00000157>	"A suspension feeder that acquires nutrition by consuming particles using a filtering apparatus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000040>	"An evolutionary quality inhering in a bearer by virtue of the bearer's morphological and physiological adaptation for digging and living underground"	
<http://purl.obolibrary.org/obo/ECOCORE_00000125>	"A photoheterotroph which is capable of using a biogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000023>	"An organism which is capable of incorporating abiogenic (inorganic) carbon into its biomass."	
<http://purl.obolibrary.org/obo/ECOCORE_00000105>	"A cannibalistic process during which an embryo obtains food and energy by consuming a less-developed sibling while both are still in the uterus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000077>	"Bacteria that are able to obtain their energy through photosynthesis"	
<http://purl.obolibrary.org/obo/ECOCORE_00000127>	"A chemoheterotroph which is capable of using a biogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000045>	"Organism that acquires nutrition from a symbiont"	
<http://purl.obolibrary.org/obo/ecocore_00000082>	"A heterotroph that consumes plant and animal matter either in whole or in part via ingestion through a type of \"mouth\". Animal and plant matter is broken down through an internal digestion process"	
<http://purl.obolibrary.org/obo/ECOCORE_00000048>	"anatomical entity that comprises the organism in a distinct juvenile form that is provided with a source of nutrition, usually a yolk sac, to use before metamorphosing into an adult"	
<http://purl.obolibrary.org/obo/ECOCORE_00000063>	"One male and one female have an exclusive mating relationship"	
<http://purl.obolibrary.org/obo/ECOCORE_00000018>	"A history which includes all the processes during which resources are used by an organism to grow, survive, and reproduce over its lifetime."	
<http://purl.obolibrary.org/obo/ECOCORE_00000067>	"a member of one sex mates with any member of the opposite sex"	
<http://purl.obolibrary.org/obo/ECOCORE_00000116>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring via external fertilisation, the oocytes being released in an ovigerous sac and fertilised outside the female's body by the male."	
<http://purl.obolibrary.org/obo/ECOCORE_00000145>	"An herbivore that primarily consumes plant exudates - gums, saps, and resins"	"https://www.wikidata.org/entity/Q17020010"
<http://purl.obolibrary.org/obo/ECOCORE_00000049>	"a community of microscopic, unicellular eukaryotic algae and the prokaryotic Cyanobacteria which live on sediment surfaces"	
<http://purl.obolibrary.org/obo/ECOCORE_00000123>	"A chemoautotroph which is capable of using a biogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000107>	"A cannibalistic process during which an embryo obtains food and energy by consuming less-developed sibling eggs while both are still in the uterus."	
<http://purl.obolibrary.org/obo/ECOCORE_00000121>	"A photoautotroph which is capable of using a biogenic organic compound as an electron donor."	
<http://purl.obolibrary.org/obo/ECOCORE_00000111>	"A heterotrophic process during which a living entity acquires food and energy by consuming a very narrow range of food items, sometimes only one."	
<http://purl.obolibrary.org/obo/ECOCORE_00000028>	"A reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that develop inside a shelled egg, with a large food supply in yolk, after internal fertilization"	
<http://purl.obolibrary.org/obo/ECOCORE_00000021>	"A heterotrophic process during which a living entity acquires food and energy from consuming living metazoan (animal) material."	
<http://purl.obolibrary.org/obo/ECOCORE_00000035>	"The third post-naupliar life stage of a copepod"	
<http://purl.obolibrary.org/obo/ECOCORE_00000011>	"A trophic interaction process during which a living entity acquires food and energy by consuming another organism or organism part, living or dead."	
