?x	?p	?y
<http://purl.obolibrary.org/obo/UBERON_0005432>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000922>
<http://purl.obolibrary.org/obo/UBERON_0009569>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002100>
<http://purl.obolibrary.org/obo/GO_0001841>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0021915>
<http://purl.obolibrary.org/obo/GO_0065010>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0005576>
<http://purl.obolibrary.org/obo/UBERON_0000115>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002048>
<http://purl.obolibrary.org/obo/UBERON_0000390>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0005614>
<http://purl.obolibrary.org/obo/UBERON_0005597>	<http://purl.obolibrary.org/obo/RO_0002387>	<http://purl.obolibrary.org/obo/UBERON_0000170>
<http://purl.obolibrary.org/obo/UBERON_0002118>	<http://purl.obolibrary.org/obo/BSPO_0000121>	<http://purl.obolibrary.org/obo/UBERON_0000468>
<http://purl.obolibrary.org/obo/UBERON_0004356>	<http://purl.obolibrary.org/obo/RO_0003000>	<http://purl.obolibrary.org/obo/PR_000007499>
<http://purl.obolibrary.org/obo/UBERON_0001021>	<http://purl.obolibrary.org/obo/RO_0000086>	<http://purl.obolibrary.org/obo/PATO_0002045>
<http://purl.obolibrary.org/obo/UBERON_0036217>	<http://purl.obolibrary.org/obo/RO_0001025>	<http://purl.obolibrary.org/obo/UBERON_0011997>
<http://purl.obolibrary.org/obo/UBERON_0001515>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000915>
<http://purl.obolibrary.org/obo/UBERON_0000170>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001558>
<http://purl.obolibrary.org/obo/UBERON_0004177>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0002390>
<http://purl.obolibrary.org/obo/UBERON_0007021>	<http://purl.obolibrary.org/obo/RO_0002493>	<http://purl.obolibrary.org/obo/UBERON_0000112>
<http://purl.obolibrary.org/obo/UBERON_0011642>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/UBERON_0009479>
<http://purl.obolibrary.org/obo/UBERON_0001981>	<http://purl.obolibrary.org/obo/RO_0002216>	<http://purl.obolibrary.org/obo/GO_0008015>
<http://purl.obolibrary.org/obo/UBERON_0009751>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000948>
<http://purl.obolibrary.org/obo/GO_0042995>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/CL_0000000>
<http://purl.obolibrary.org/obo/UBERON_0013136>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001653>
<http://purl.obolibrary.org/obo/UBERON_0000107>	<http://purl.obolibrary.org/obo/RO_0002082>	<http://purl.obolibrary.org/obo/GO_0040016>
<http://purl.obolibrary.org/obo/UBERON_0004237>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001981>
<http://purl.obolibrary.org/obo/UBERON_0007277>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0006238>
<http://purl.obolibrary.org/obo/UBERON_0003134>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000474>
<http://purl.obolibrary.org/obo/UBERON_0003351>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001042>
<http://purl.obolibrary.org/obo/UBERON_0007278>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004141>
<http://purl.obolibrary.org/obo/UBERON_0015410>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0004535>
<http://purl.obolibrary.org/obo/GO_0051216>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0001501>
<http://purl.obolibrary.org/obo/CL_0002078>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000222>
<http://purl.obolibrary.org/obo/CL_0008002>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/CL_0000515>
<http://purl.obolibrary.org/obo/UBERON_0003568>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0000974>
<http://purl.obolibrary.org/obo/GO_0003006>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0000003>
<http://purl.obolibrary.org/obo/UBERON_0004708>	<http://purl.obolibrary.org/obo/RO_0002160>	<http://purl.obolibrary.org/obo/NCBITaxon_7742>
<http://purl.obolibrary.org/obo/UBERON_0004234>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/UBERON_0001606>
<http://purl.obolibrary.org/obo/GO_0051241>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0032501>
<http://purl.obolibrary.org/obo/UBERON_0001776>	<http://purl.obolibrary.org/obo/RO_0002220>	<http://purl.obolibrary.org/obo/UBERON_0011892>
<http://purl.obolibrary.org/obo/UBERON_0002385>	<http://purl.obolibrary.org/obo/RO_0002160>	<http://purl.obolibrary.org/obo/NCBITaxon_6072>
<http://purl.obolibrary.org/obo/UBERON_0013686>	<http://purl.obolibrary.org/obo/RO_0002572>	<http://purl.obolibrary.org/obo/UBERON_0004111>
<http://purl.obolibrary.org/obo/UBERON_0000165>	<http://purl.obolibrary.org/obo/BSPO_0001106>	<http://purl.obolibrary.org/obo/UBERON_0001555>
<http://purl.obolibrary.org/obo/UBERON_0002350>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CL_1000409>
